Assembly constituency name,Age group,Total deletions,Reason for deletion,Male deletions,Female deletions,Gender imbalance in pct
Kalyanpur,45-60,"1,736",Deceased,817,919,5.88
Kalyanpur,61-75,"2,640",Deceased,"1,264","1,376",4.24
Kalyanpur,75+,"1,776",Deceased,816,960,8.11
Kalyanpur,18-29,854,Duplicate enrolment,397,457,7.03
Kalyanpur,30-44,"1,632",Duplicate enrolment,880,752,-7.84
Kalyanpur,45-60,522,Duplicate enrolment,257,265,1.53
Kalyanpur,61-75,132,Duplicate enrolment,58,74,12.12
Kalyanpur,75+,30,Duplicate enrolment,15,15,0
Kalyanpur,18-29,"1,976",Permanently shifted,431,"1,545",56.38
Kalyanpur,30-44,"3,468",Permanently shifted,"1,291","2,177",25.55
Kalyanpur,45-60,"1,900",Permanently shifted,917,983,3.47
Kalyanpur,61-75,544,Permanently shifted,266,278,2.21
Kalyanpur,75+,111,Permanently shifted,47,64,15.32
Kalyanpur,18-29,948,Untraceable,341,607,28.06
Kalyanpur,30-44,"1,760",Untraceable,729,"1,031",17.16
Kalyanpur,45-60,819,Untraceable,419,400,-2.32
Kalyanpur,61-75,270,Untraceable,129,141,4.44
Kalyanpur,75+,68,Untraceable,25,43,26.47
"Pipra, Purvi Champaran",18-29,352,Deceased,183,169,-3.98
"Pipra, Purvi Champaran",30-44,"1,490",Deceased,771,719,-3.49
"Pipra, Purvi Champaran",45-60,"2,781",Deceased,"1,473","1,308",-5.93
"Pipra, Purvi Champaran",61-75,"4,002",Deceased,"1,841","2,161",8
"Pipra, Purvi Champaran",75+,"2,143",Deceased,923,"1,220",13.86
"Pipra, Purvi Champaran",18-29,"1,146",Duplicate enrolment,550,596,4.01
"Pipra, Purvi Champaran",30-44,"2,081",Duplicate enrolment,"1,048","1,033",-0.72
"Pipra, Purvi Champaran",45-60,594,Duplicate enrolment,254,340,14.48
"Pipra, Purvi Champaran",61-75,173,Duplicate enrolment,77,96,10.98
"Pipra, Purvi Champaran",75+,31,Duplicate enrolment,12,19,22.58
"Pipra, Purvi Champaran",18-29,"3,417",Permanently shifted,717,"2,700",58.03
"Pipra, Purvi Champaran",30-44,"6,157",Permanently shifted,"2,433","3,724",20.97
"Pipra, Purvi Champaran",45-60,"3,081",Permanently shifted,"1,556","1,525",-1.01
"Pipra, Purvi Champaran",61-75,873,Permanently shifted,454,419,-4.01
"Pipra, Purvi Champaran",75+,194,Permanently shifted,89,105,8.25
"Pipra, Purvi Champaran",18-29,"1,560",Untraceable,541,"1,019",30.64
"Pipra, Purvi Champaran",30-44,"2,985",Untraceable,"1,280","1,705",14.24
"Pipra, Purvi Champaran",45-60,"1,415",Untraceable,728,687,-2.9
"Pipra, Purvi Champaran",61-75,438,Untraceable,192,246,12.33
"Pipra, Purvi Champaran",75+,132,Untraceable,47,85,28.79
Madhuban,18-29,333,Deceased,168,165,-0.9
Madhuban,30-44,"1,482",Deceased,739,743,0.27
Madhuban,45-60,"2,937",Deceased,"1,437","1,500",2.15
Madhuban,61-75,"4,306",Deceased,"2,078","2,228",3.48
Madhuban,75+,"2,388",Deceased,"1,072","1,316",10.22
Madhuban,18-29,"1,175",Duplicate enrolment,600,575,-2.13
Madhuban,30-44,"1,821",Duplicate enrolment,925,896,-1.59
Madhuban,45-60,499,Duplicate enrolment,248,251,0.6
Madhuban,61-75,111,Duplicate enrolment,55,56,0.9
Madhuban,75+,32,Duplicate enrolment,14,18,12.5
Madhuban,18-29,"1,848",Permanently shifted,438,"1,410",52.6
Madhuban,30-44,"2,776",Permanently shifted,"1,001","1,775",27.88
Madhuban,45-60,"1,471",Permanently shifted,734,737,0.2
Madhuban,61-75,394,Permanently shifted,178,216,9.64
Madhuban,75+,78,Permanently shifted,37,41,5.13
Madhuban,18-29,363,Untraceable,137,226,24.52
Madhuban,30-44,590,Untraceable,264,326,10.51
Madhuban,45-60,273,Untraceable,133,140,2.56
Madhuban,61-75,83,Untraceable,36,47,13.25
Madhuban,75+,30,Untraceable,5,25,66.67
Motihari,18-29,370,Deceased,191,179,-3.24
Motihari,30-44,"1,565",Deceased,917,648,-17.19
Motihari,45-60,"3,191",Deceased,"1,728","1,463",-8.3
Motihari,61-75,"4,700",Deceased,"2,368","2,332",-0.77
Motihari,75+,"3,157",Deceased,"1,594","1,563",-0.98
Motihari,18-29,926,Duplicate enrolment,494,432,-6.7
Motihari,30-44,"1,315",Duplicate enrolment,691,624,-5.1
Motihari,45-60,331,Duplicate enrolment,146,185,11.78
Motihari,61-75,100,Duplicate enrolment,48,52,4
Motihari,75+,21,Duplicate enrolment,13,8,-23.81
Motihari,18-29,"3,761",Permanently shifted,"1,376","2,385",26.83
Motihari,30-44,"12,273",Permanently shifted,"5,431","6,842",11.5
Motihari,45-60,"7,792",Permanently shifted,"4,278","3,514",-9.8
Motihari,61-75,"2,675",Permanently shifted,"1,475","1,200",-10.28
Motihari,75+,737,Permanently shifted,389,348,-5.56
Motihari,18-29,"1,975",Untraceable,906,"1,069",8.25
Motihari,30-44,"5,073",Untraceable,"2,430","2,643",4.2
Motihari,45-60,"3,023",Untraceable,"1,603","1,420",-6.05
Motihari,61-75,"1,045",Untraceable,536,509,-2.58
Motihari,75+,370,Untraceable,177,193,4.32
Chiraia,18-29,355,Deceased,164,191,7.61
Chiraia,30-44,"1,431",Deceased,712,719,0.49
Chiraia,45-60,"2,399",Deceased,"1,151","1,248",4.04
Chiraia,61-75,"3,568",Deceased,"1,681","1,887",5.77
Chiraia,75+,"2,283",Deceased,"1,037","1,246",9.15
Chiraia,18-29,"1,310",Duplicate enrolment,665,645,-1.53
Chiraia,30-44,"2,414",Duplicate enrolment,"1,281","1,133",-6.13
Chiraia,45-60,643,Duplicate enrolment,317,326,1.4
Chiraia,61-75,203,Duplicate enrolment,91,112,10.34
Chiraia,75+,57,Duplicate enrolment,21,36,26.32
Chiraia,18-29,"2,043",Permanently shifted,572,"1,471",44
Chiraia,30-44,"3,965",Permanently shifted,"1,595","2,370",19.55
Chiraia,45-60,"1,931",Permanently shifted,979,952,-1.4
Chiraia,61-75,578,Permanently shifted,285,293,1.38
Chiraia,75+,132,Permanently shifted,64,68,3.03
Chiraia,18-29,"1,436",Untraceable,610,826,15.04
Chiraia,30-44,"2,313",Untraceable,"1,025","1,288",11.37
Chiraia,45-60,"1,091",Untraceable,553,538,-1.37
Chiraia,61-75,382,Untraceable,186,196,2.62
Chiraia,75+,83,Untraceable,33,50,20.48
Dhaka,18-29,239,Deceased,109,130,8.79
Dhaka,30-44,987,Deceased,487,500,1.32
Dhaka,45-60,"1,896",Deceased,886,"1,010",6.54
Dhaka,61-75,"2,698",Deceased,"1,238","1,460",8.23
Dhaka,75+,"1,171",Deceased,538,633,8.11
Dhaka,18-29,977,Duplicate enrolment,542,435,-10.95
Dhaka,30-44,"1,285",Duplicate enrolment,644,641,-0.23
Dhaka,45-60,388,Duplicate enrolment,170,218,12.37
Dhaka,61-75,81,Duplicate enrolment,29,52,28.4
Dhaka,75+,19,Duplicate enrolment,10,9,-5.26
Dhaka,18-29,"1,465",Permanently shifted,398,"1,067",45.67
Dhaka,30-44,"2,639",Permanently shifted,"1,075","1,564",18.53
Dhaka,45-60,"1,158",Permanently shifted,539,619,6.91
Dhaka,61-75,330,Permanently shifted,179,151,-8.48
Dhaka,75+,55,Permanently shifted,29,26,-5.45
Dhaka,18-29,624,Untraceable,280,344,10.26
Dhaka,30-44,989,Untraceable,388,601,21.54
Dhaka,45-60,445,Untraceable,201,244,9.66
Dhaka,61-75,138,Untraceable,46,92,33.33
Dhaka,75+,46,Untraceable,14,32,39.13
Sheohar,18-29,282,Deceased,117,165,17.02
Sheohar,30-44,997,Deceased,482,515,3.31
Sheohar,45-60,"1,724",Deceased,831,893,3.6
Sheohar,61-75,"2,526",Deceased,"1,195","1,331",5.38
Sheohar,75+,"1,787",Deceased,790,997,11.58
Sheohar,18-29,908,Duplicate enrolment,427,481,5.95
Sheohar,30-44,"1,020",Duplicate enrolment,523,497,-2.55
Sheohar,45-60,296,Duplicate enrolment,133,163,10.14
Sheohar,61-75,114,Duplicate enrolment,57,57,0
Sheohar,75+,27,Duplicate enrolment,10,17,25.93
Sheohar,18-29,"2,874",Permanently shifted,705,"2,169",50.94
Sheohar,30-44,"4,368",Permanently shifted,"1,579","2,789",27.7
Sheohar,45-60,"2,385",Permanently shifted,"1,211","1,174",-1.55
Sheohar,61-75,771,Permanently shifted,382,389,0.91
Sheohar,75+,148,Permanently shifted,67,81,9.46
Sheohar,18-29,"1,831",Untraceable,677,"1,154",26.05
Sheohar,30-44,"3,283",Untraceable,"1,468","1,815",10.57
Sheohar,45-60,"1,926",Untraceable,"1,029",897,-6.85
Sheohar,61-75,666,Untraceable,320,346,3.9
Sheohar,75+,212,Untraceable,83,129,21.7
Riga,18-29,309,Deceased,158,151,-2.27
Riga,30-44,"1,027",Deceased,563,464,-9.64
Riga,45-60,"2,010",Deceased,"1,046",964,-4.08
Riga,61-75,"4,026",Deceased,"1,946","2,080",3.33
Riga,75+,"3,959",Deceased,"1,960","1,999",0.99
Riga,18-29,"1,319",Duplicate enrolment,664,655,-0.68
Riga,30-44,"1,400",Duplicate enrolment,742,658,-6
Riga,45-60,645,Duplicate enrolment,320,325,0.78
Riga,61-75,206,Duplicate enrolment,105,101,-1.94
Riga,75+,51,Duplicate enrolment,27,24,-5.88
