Assembly constituency name,Age group,Total deletions,Reason for deletion,Male deletions,Female deletions,Gender imbalance in pct
Maharajganj,45-60,576,Duplicate enrolment,264,312,8.33
Maharajganj,61-75,177,Duplicate enrolment,76,101,14.12
Maharajganj,75+,34,Duplicate enrolment,16,18,5.88
Maharajganj,18-29,"2,759",Permanently shifted,604,"2,155",56.22
Maharajganj,30-44,"4,398",Permanently shifted,"1,543","2,855",29.83
Maharajganj,45-60,"2,337",Permanently shifted,"1,101","1,236",5.78
Maharajganj,61-75,639,Permanently shifted,316,323,1.1
Maharajganj,75+,144,Permanently shifted,65,79,9.72
Maharajganj,18-29,580,Untraceable,281,299,3.1
Maharajganj,30-44,"1,203",Untraceable,595,608,1.08
Maharajganj,45-60,792,Untraceable,375,417,5.3
Maharajganj,61-75,256,Untraceable,105,151,17.97
Maharajganj,75+,78,Untraceable,33,45,15.38
Ekma,18-29,185,Deceased,75,110,18.92
Ekma,30-44,895,Deceased,437,458,2.35
Ekma,45-60,"1,949",Deceased,848,"1,101",12.98
Ekma,61-75,"3,020",Deceased,"1,117","1,903",26.03
Ekma,75+,"2,161",Deceased,770,"1,391",28.74
Ekma,18-29,736,Duplicate enrolment,372,364,-1.09
Ekma,30-44,"1,249",Duplicate enrolment,691,558,-10.65
Ekma,45-60,690,Duplicate enrolment,317,373,8.12
Ekma,61-75,234,Duplicate enrolment,105,129,10.26
Ekma,75+,71,Duplicate enrolment,33,38,7.04
Ekma,18-29,"3,223",Permanently shifted,544,"2,679",66.24
Ekma,30-44,"5,196",Permanently shifted,"1,940","3,256",25.33
Ekma,45-60,"3,452",Permanently shifted,"1,619","1,833",6.2
Ekma,61-75,890,Permanently shifted,383,507,13.93
Ekma,75+,243,Permanently shifted,106,137,12.76
Ekma,18-29,642,Untraceable,322,320,-0.31
Ekma,30-44,"1,764",Untraceable,918,846,-4.08
Ekma,45-60,"1,400",Untraceable,671,729,4.14
Ekma,61-75,408,Untraceable,170,238,16.67
Ekma,75+,134,Untraceable,44,90,34.33
Manjhi,18-29,176,Deceased,95,81,-7.95
Manjhi,30-44,995,Deceased,548,447,-10.15
Manjhi,45-60,"2,233",Deceased,"1,018","1,215",8.82
Manjhi,61-75,"3,484",Deceased,"1,390","2,094",20.21
Manjhi,75+,"2,316",Deceased,888,"1,428",23.32
Manjhi,18-29,823,Duplicate enrolment,424,399,-3.04
Manjhi,30-44,"1,757",Duplicate enrolment,931,826,-5.98
Manjhi,45-60,906,Duplicate enrolment,457,449,-0.88
Manjhi,61-75,292,Duplicate enrolment,128,164,12.33
Manjhi,75+,54,Duplicate enrolment,25,29,7.41
Manjhi,18-29,"3,846",Permanently shifted,622,"3,224",67.65
Manjhi,30-44,"6,037",Permanently shifted,"2,207","3,830",26.88
Manjhi,45-60,"3,696",Permanently shifted,"1,795","1,901",2.87
Manjhi,61-75,"1,014",Permanently shifted,457,557,9.86
Manjhi,75+,297,Permanently shifted,117,180,21.21
Manjhi,18-29,200,Untraceable,89,111,11
Manjhi,30-44,495,Untraceable,233,262,5.86
Manjhi,45-60,356,Untraceable,170,186,4.49
Manjhi,61-75,121,Untraceable,54,67,10.74
Manjhi,75+,31,Untraceable,12,19,22.58
Baniapur,18-29,221,Deceased,98,123,11.31
Baniapur,30-44,"1,178",Deceased,546,632,7.3
Baniapur,45-60,"2,574",Deceased,943,"1,631",26.73
Baniapur,61-75,"3,672",Deceased,"1,253","2,419",31.75
Baniapur,75+,"2,634",Deceased,777,"1,857",41
Baniapur,18-29,681,Duplicate enrolment,289,392,15.12
Baniapur,30-44,"1,582",Duplicate enrolment,838,744,-5.94
Baniapur,45-60,868,Duplicate enrolment,364,504,16.13
Baniapur,61-75,240,Duplicate enrolment,103,137,14.17
Baniapur,75+,53,Duplicate enrolment,20,33,24.53
Baniapur,18-29,"2,564",Permanently shifted,561,"2,003",56.24
Baniapur,30-44,"4,599",Permanently shifted,"1,595","3,004",30.64
Baniapur,45-60,"2,625",Permanently shifted,"1,162","1,463",11.47
Baniapur,61-75,744,Permanently shifted,326,418,12.37
Baniapur,75+,219,Permanently shifted,86,133,21.46
Baniapur,18-29,578,Untraceable,225,353,22.15
Baniapur,30-44,"1,557",Untraceable,698,859,10.34
Baniapur,45-60,"1,038",Untraceable,482,556,7.13
Baniapur,61-75,329,Untraceable,131,198,20.36
Baniapur,75+,137,Untraceable,44,93,35.77
Taraiya,18-29,222,Deceased,94,128,15.32
Taraiya,30-44,"1,164",Deceased,639,525,-9.79
Taraiya,45-60,"2,691",Deceased,"1,283","1,408",4.65
Taraiya,61-75,"3,998",Deceased,"1,808","2,190",9.55
Taraiya,75+,"2,875",Deceased,"1,196","1,679",16.8
Taraiya,18-29,690,Duplicate enrolment,330,360,4.35
Taraiya,30-44,"1,280",Duplicate enrolment,655,625,-2.34
Taraiya,45-60,763,Duplicate enrolment,349,414,8.52
Taraiya,61-75,241,Duplicate enrolment,118,123,2.07
Taraiya,75+,43,Duplicate enrolment,13,30,39.53
Taraiya,18-29,"3,483",Permanently shifted,585,"2,898",66.41
Taraiya,30-44,"4,914",Permanently shifted,"1,781","3,133",27.51
Taraiya,45-60,"3,240",Permanently shifted,"1,581","1,659",2.41
Taraiya,61-75,896,Permanently shifted,418,478,6.7
Taraiya,75+,218,Permanently shifted,111,107,-1.83
Taraiya,18-29,948,Untraceable,369,579,22.15
Taraiya,30-44,"2,229",Untraceable,"1,110","1,119",0.4
Taraiya,45-60,"1,651",Untraceable,810,841,1.88
Taraiya,61-75,475,Untraceable,223,252,6.11
Taraiya,75+,135,Untraceable,60,75,11.11
Marhaura,18-29,201,Deceased,92,109,8.46
Marhaura,30-44,"1,046",Deceased,559,487,-6.88
Marhaura,45-60,"2,673",Deceased,"1,223","1,450",8.49
Marhaura,61-75,"3,651",Deceased,"1,434","2,217",21.45
Marhaura,75+,"2,188",Deceased,761,"1,427",30.44
Marhaura,18-29,694,Duplicate enrolment,311,383,10.37
Marhaura,30-44,"1,029",Duplicate enrolment,496,533,3.6
Marhaura,45-60,527,Duplicate enrolment,239,288,9.3
Marhaura,61-75,165,Duplicate enrolment,72,93,12.73
Marhaura,75+,32,Duplicate enrolment,14,18,12.5
Marhaura,18-29,"2,837",Permanently shifted,645,"2,192",54.53
Marhaura,30-44,"4,663",Permanently shifted,"1,773","2,890",23.95
Marhaura,45-60,"2,969",Permanently shifted,"1,530","1,439",-3.07
Marhaura,61-75,861,Permanently shifted,415,446,3.6
Marhaura,75+,205,Permanently shifted,81,124,20.98
Marhaura,18-29,834,Untraceable,338,496,18.94
Marhaura,30-44,"1,998",Untraceable,937,"1,061",6.21
Marhaura,45-60,"1,415",Untraceable,690,725,2.47
Marhaura,61-75,347,Untraceable,137,210,21.04
Marhaura,75+,115,Untraceable,43,72,25.22
Chapra,18-29,195,Deceased,101,94,-3.59
Chapra,30-44,"1,174",Deceased,667,507,-13.63
Chapra,45-60,"2,525",Deceased,"1,359","1,166",-7.64
Chapra,61-75,"3,830",Deceased,"1,847","1,983",3.55
Chapra,75+,"3,146",Deceased,"1,368","1,778",13.03
Chapra,18-29,453,Duplicate enrolment,217,236,4.19
Chapra,30-44,898,Duplicate enrolment,500,398,-11.36
Chapra,45-60,436,Duplicate enrolment,223,213,-2.29
Chapra,61-75,121,Duplicate enrolment,57,64,5.79
Chapra,75+,23,Duplicate enrolment,13,10,-13.04
Chapra,18-29,"1,874",Permanently shifted,373,"1,501",60.19
Chapra,30-44,"5,334",Permanently shifted,"1,912","3,422",28.31
Chapra,45-60,"3,304",Permanently shifted,"1,680","1,624",-1.69
Chapra,61-75,"1,137",Permanently shifted,616,521,-8.36
Chapra,75+,244,Permanently shifted,132,112,-8.2
Chapra,18-29,223,Untraceable,110,113,1.35
Chapra,30-44,511,Untraceable,244,267,4.5
Chapra,45-60,318,Untraceable,166,152,-4.4
Chapra,61-75,91,Untraceable,53,38,-16.48
Chapra,75+,29,Untraceable,11,18,24.14
Garkha (SC),18-29,179,Deceased,86,93,3.91
Garkha (SC),30-44,879,Deceased,466,413,-6.03
Garkha (SC),45-60,"2,013",Deceased,900,"1,113",10.58
Garkha (SC),61-75,"2,993",Deceased,"1,204","1,789",19.55
Garkha (SC),75+,"2,328",Deceased,839,"1,489",27.92
Garkha (SC),18-29,670,Duplicate enrolment,298,372,11.04
Garkha (SC),30-44,"1,101",Duplicate enrolment,609,492,-10.63
Garkha (SC),45-60,545,Duplicate enrolment,275,270,-0.92
Garkha (SC),61-75,152,Duplicate enrolment,72,80,5.26
Garkha (SC),75+,23,Duplicate enrolment,6,17,47.83
Garkha (SC),18-29,"2,429",Permanently shifted,444,"1,985",63.44
Garkha (SC),30-44,"3,136",Permanently shifted,"1,139","1,997",27.36
Garkha (SC),45-60,"1,821",Permanently shifted,871,950,4.34
Garkha (SC),61-75,562,Permanently shifted,259,303,7.83
Garkha (SC),75+,133,Permanently shifted,54,79,18.8
Garkha (SC),18-29,616,Untraceable,282,334,8.44
Garkha (SC),30-44,"1,020",Untraceable,504,516,1.18
Garkha (SC),45-60,629,Untraceable,303,326,3.66
Garkha (SC),61-75,178,Untraceable,85,93,4.49
Garkha (SC),75+,47,Untraceable,14,33,40.43
Amnour,18-29,248,Deceased,123,125,0.81
Amnour,30-44,"1,103",Deceased,594,509,-7.71
Amnour,45-60,"2,391",Deceased,"1,147","1,244",4.06
Amnour,61-75,"3,300",Deceased,"1,390","1,910",15.76
Amnour,75+,"2,209",Deceased,875,"1,334",20.78
Amnour,18-29,797,Duplicate enrolment,350,447,12.17
Amnour,30-44,"1,546",Duplicate enrolment,785,761,-1.55
Amnour,45-60,829,Duplicate enrolment,386,443,6.88
Amnour,61-75,228,Duplicate enrolment,108,120,5.26
Amnour,75+,62,Duplicate enrolment,17,45,45.16
Amnour,18-29,"2,885",Permanently shifted,512,"2,373",64.51
Amnour,30-44,"4,288",Permanently shifted,"1,631","2,657",23.93
Amnour,45-60,"2,726",Permanently shifted,"1,365","1,361",-0.15
Amnour,61-75,807,Permanently shifted,363,444,10.04
Amnour,75+,192,Permanently shifted,73,119,23.96
Amnour,18-29,"2,521",Untraceable,"1,077","1,444",14.56
Amnour,30-44,"5,599",Untraceable,"2,697","2,902",3.66
Amnour,45-60,"4,002",Untraceable,"1,924","2,078",3.85
Amnour,61-75,"1,206",Untraceable,507,699,15.92
Amnour,75+,345,Untraceable,137,208,20.58
Parsa,18-29,201,Deceased,86,115,14.43
Parsa,30-44,998,Deceased,545,453,-9.22
Parsa,45-60,"2,300",Deceased,"1,133","1,167",1.48
Parsa,61-75,"3,067",Deceased,"1,361","1,706",11.25
Parsa,75+,"2,032",Deceased,845,"1,187",16.83
Parsa,18-29,470,Duplicate enrolment,229,241,2.55
Parsa,30-44,956,Duplicate enrolment,526,430,-10.04
Parsa,45-60,475,Duplicate enrolment,218,257,8.21
Parsa,61-75,119,Duplicate enrolment,54,65,9.24
Parsa,75+,26,Duplicate enrolment,10,16,23.08
Parsa,18-29,"2,389",Permanently shifted,423,"1,966",64.59
Parsa,30-44,"3,775",Permanently shifted,"1,431","2,344",24.19
Parsa,45-60,"2,559",Permanently shifted,"1,316","1,243",-2.85
Parsa,61-75,714,Permanently shifted,348,366,2.52
Parsa,75+,158,Permanently shifted,75,83,5.06
Parsa,18-29,676,Untraceable,257,419,23.96
Parsa,30-44,"1,588",Untraceable,691,897,12.97
Parsa,45-60,"1,250",Untraceable,646,604,-3.36
Parsa,61-75,344,Untraceable,174,170,-1.16
Parsa,75+,110,Untraceable,50,60,9.09
Sonepur,18-29,152,Deceased,73,79,3.95
Sonepur,30-44,721,Deceased,401,320,-11.23
Sonepur,45-60,"1,696",Deceased,909,787,-7.19
Sonepur,61-75,"2,293",Deceased,"1,054","1,239",8.07
Sonepur,75+,"1,796",Deceased,775,"1,021",13.7
Sonepur,18-29,348,Duplicate enrolment,159,189,8.62
Sonepur,30-44,582,Duplicate enrolment,343,239,-17.87
Sonepur,45-60,317,Duplicate enrolment,160,157,-0.95
Sonepur,61-75,82,Duplicate enrolment,32,50,21.95
Sonepur,75+,25,Duplicate enrolment,11,14,12
Sonepur,18-29,"1,614",Permanently shifted,335,"1,279",58.49
Sonepur,30-44,"3,628",Permanently shifted,"1,369","2,259",24.53
Sonepur,45-60,"2,431",Permanently shifted,"1,232","1,199",-1.36
Sonepur,61-75,871,Permanently shifted,457,414,-4.94
Sonepur,75+,230,Permanently shifted,107,123,6.96
Sonepur,18-29,200,Untraceable,89,111,11
Sonepur,30-44,352,Untraceable,187,165,-6.25
Sonepur,45-60,318,Untraceable,160,158,-0.63
Sonepur,61-75,126,Untraceable,74,52,-17.46
Sonepur,75+,29,Untraceable,13,16,10.34
Hajipur,18-29,220,Deceased,123,97,-11.82
Hajipur,30-44,"1,297",Deceased,833,464,-28.45
Hajipur,45-60,"2,929",Deceased,"1,752","1,177",-19.63
Hajipur,61-75,"4,621",Deceased,"2,460","2,161",-6.47
Hajipur,75+,"4,887",Deceased,"2,509","2,378",-2.68
Hajipur,18-29,498,Duplicate enrolment,229,269,8.03
Hajipur,30-44,722,Duplicate enrolment,424,298,-17.45
Hajipur,45-60,336,Duplicate enrolment,179,157,-6.55
Hajipur,61-75,107,Duplicate enrolment,64,43,-19.63
Hajipur,75+,26,Duplicate enrolment,17,9,-30.77
Hajipur,18-29,"1,779",Permanently shifted,655,"1,124",26.36
Hajipur,30-44,"4,545",Permanently shifted,"1,847","2,698",18.72
Hajipur,45-60,"3,098",Permanently shifted,"1,621","1,477",-4.65
Hajipur,61-75,"1,142",Permanently shifted,650,492,-13.84
Hajipur,75+,317,Permanently shifted,180,137,-13.56
Hajipur,18-29,"2,062",Untraceable,979,"1,083",5.04
Hajipur,30-44,"4,958",Untraceable,"2,405","2,553",2.99
Hajipur,45-60,"2,911",Untraceable,"1,487","1,424",-2.16
Hajipur,61-75,"1,217",Untraceable,645,572,-6
Hajipur,75+,516,Untraceable,263,253,-1.94
Lalganj,18-29,270,Deceased,139,131,-2.96
Lalganj,30-44,"1,494",Deceased,896,598,-19.95
Lalganj,45-60,"3,342",Deceased,"1,822","1,520",-9.04
Lalganj,61-75,"5,453",Deceased,"2,792","2,661",-2.4
Lalganj,75+,"5,337",Deceased,"2,573","2,764",3.58
Lalganj,18-29,"1,146",Duplicate enrolment,561,585,2.09
Lalganj,30-44,"1,554",Duplicate enrolment,841,713,-8.24
Lalganj,45-60,471,Duplicate enrolment,241,230,-2.34
Lalganj,61-75,122,Duplicate enrolment,59,63,3.28
Lalganj,75+,26,Duplicate enrolment,12,14,7.69
Lalganj,18-29,"2,261",Permanently shifted,644,"1,617",43.03
Lalganj,30-44,"4,237",Permanently shifted,"1,528","2,709",27.87
Lalganj,45-60,"2,616",Permanently shifted,"1,311","1,305",-0.23
Lalganj,61-75,875,Permanently shifted,450,425,-2.86
Lalganj,75+,230,Permanently shifted,116,114,-0.87
Lalganj,18-29,"1,222",Untraceable,545,677,10.8
Lalganj,30-44,"1,456",Untraceable,663,793,8.93
Lalganj,45-60,704,Untraceable,355,349,-0.85
Lalganj,61-75,229,Untraceable,111,118,3.06
Lalganj,75+,87,Untraceable,34,53,21.84
Vaishali,18-29,235,Deceased,122,113,-3.83
Vaishali,30-44,"1,044",Deceased,641,403,-22.8
Vaishali,45-60,"2,257",Deceased,"1,243","1,014",-10.15
Vaishali,61-75,"3,884",Deceased,"1,960","1,924",-0.93
Vaishali,75+,"3,702",Deceased,"1,733","1,969",6.37
Vaishali,18-29,799,Duplicate enrolment,384,415,3.88
Vaishali,30-44,894,Duplicate enrolment,489,405,-9.4
Vaishali,45-60,290,Duplicate enrolment,149,141,-2.76
Vaishali,61-75,82,Duplicate enrolment,50,32,-21.95
Vaishali,75+,30,Duplicate enrolment,18,12,-20
Vaishali,18-29,"2,446",Permanently shifted,572,"1,874",53.23
Vaishali,30-44,"3,064",Permanently shifted,"1,161","1,903",24.22
Vaishali,45-60,"1,943",Permanently shifted,"1,017",926,-4.68
Vaishali,61-75,637,Permanently shifted,360,277,-13.03
Vaishali,75+,161,Permanently shifted,78,83,3.11
Vaishali,18-29,"1,818",Untraceable,601,"1,217",33.88
Vaishali,30-44,"1,587",Untraceable,732,855,7.75
Vaishali,45-60,813,Untraceable,417,396,-2.58
Vaishali,61-75,257,Untraceable,123,134,4.28
Vaishali,75+,100,Untraceable,48,52,4
Mahua,18-29,173,Deceased,87,86,-0.58
Mahua,30-44,797,Deceased,481,316,-20.7
Mahua,45-60,"1,544",Deceased,845,699,-9.46
Mahua,61-75,"2,501",Deceased,"1,258","1,243",-0.6
Mahua,75+,"2,442",Deceased,"1,203","1,239",1.47
Mahua,18-29,521,Duplicate enrolment,255,266,2.11
Mahua,30-44,598,Duplicate enrolment,355,243,-18.73
Mahua,45-60,270,Duplicate enrolment,144,126,-6.67
Mahua,61-75,84,Duplicate enrolment,37,47,11.9
Mahua,75+,24,Duplicate enrolment,14,10,-16.67
Mahua,18-29,"1,775",Permanently shifted,432,"1,343",51.32
Mahua,30-44,"3,498",Permanently shifted,"1,466","2,032",16.18
Mahua,45-60,"2,320",Permanently shifted,"1,234","1,086",-6.38
Mahua,61-75,783,Permanently shifted,402,381,-2.68
Mahua,75+,189,Permanently shifted,91,98,3.7
Mahua,18-29,322,Untraceable,116,206,27.95
Mahua,30-44,707,Untraceable,340,367,3.82
Mahua,45-60,493,Untraceable,266,227,-7.91
Mahua,61-75,186,Untraceable,102,84,-9.68
Mahua,75+,52,Untraceable,22,30,15.38
Raja Pakar (SC),18-29,186,Deceased,93,93,0
Raja Pakar (SC),30-44,917,Deceased,552,365,-20.39
Raja Pakar (SC),45-60,"2,174",Deceased,"1,253",921,-15.27
Raja Pakar (SC),61-75,"3,787",Deceased,"1,968","1,819",-3.93
Raja Pakar (SC),75+,"4,047",Deceased,"2,071","1,976",-2.35
Raja Pakar (SC),18-29,495,Duplicate enrolment,221,274,10.71
Raja Pakar (SC),30-44,741,Duplicate enrolment,421,320,-13.63
Raja Pakar (SC),45-60,285,Duplicate enrolment,163,122,-14.39
Raja Pakar (SC),61-75,70,Duplicate enrolment,41,29,-17.14
Raja Pakar (SC),75+,23,Duplicate enrolment,8,15,30.43
Raja Pakar (SC),18-29,"1,368",Permanently shifted,382,986,44.15
Raja Pakar (SC),30-44,"2,009",Permanently shifted,807,"1,202",19.66
Raja Pakar (SC),45-60,"1,610",Permanently shifted,828,782,-2.86
Raja Pakar (SC),61-75,529,Permanently shifted,262,267,0.95
Raja Pakar (SC),75+,153,Permanently shifted,84,69,-9.8
Raja Pakar (SC),18-29,272,Untraceable,114,158,16.18
Raja Pakar (SC),30-44,483,Untraceable,242,241,-0.21
Raja Pakar (SC),45-60,295,Untraceable,148,147,-0.34
Raja Pakar (SC),61-75,98,Untraceable,45,53,8.16
Raja Pakar (SC),75+,37,Untraceable,17,20,8.11
Raghopur,18-29,241,Deceased,141,100,-17.01
Raghopur,30-44,"1,837",Deceased,"1,062",775,-15.62
Raghopur,45-60,"3,185",Deceased,"1,680","1,505",-5.49
Raghopur,61-75,"4,755",Deceased,"2,375","2,380",0.11
Raghopur,75+,"4,210",Deceased,"2,066","2,144",1.85
Raghopur,18-29,786,Duplicate enrolment,362,424,7.89
Raghopur,30-44,"1,526",Duplicate enrolment,878,648,-15.07
Raghopur,45-60,504,Duplicate enrolment,265,239,-5.16
Raghopur,61-75,188,Duplicate enrolment,89,99,5.32
Raghopur,75+,62,Duplicate enrolment,31,31,0
Raghopur,18-29,"2,642",Permanently shifted,957,"1,685",27.55
Raghopur,30-44,"5,845",Permanently shifted,"2,552","3,293",12.68
Raghopur,45-60,"3,670",Permanently shifted,"1,894","1,776",-3.22
Raghopur,61-75,"1,373",Permanently shifted,688,685,-0.22
Raghopur,75+,402,Permanently shifted,191,211,4.98
Raghopur,18-29,838,Untraceable,365,473,12.89
Raghopur,30-44,"1,493",Untraceable,709,784,5.02
Raghopur,45-60,939,Untraceable,473,466,-0.75
Raghopur,61-75,358,Untraceable,184,174,-2.79
Raghopur,75+,135,Untraceable,69,66,-2.22
Mahnar,18-29,278,Deceased,118,160,15.11
Mahnar,30-44,"1,242",Deceased,683,559,-9.98
Mahnar,45-60,"2,453",Deceased,"1,345","1,108",-9.66
Mahnar,61-75,"4,185",Deceased,"2,088","2,097",0.22
Mahnar,75+,"4,301",Deceased,"2,138","2,163",0.58
Mahnar,18-29,806,Duplicate enrolment,377,429,6.45
Mahnar,30-44,"1,261",Duplicate enrolment,671,590,-6.42
Mahnar,45-60,558,Duplicate enrolment,293,265,-5.02
Mahnar,61-75,161,Duplicate enrolment,72,89,10.56
Mahnar,75+,39,Duplicate enrolment,21,18,-7.69
Mahnar,18-29,"2,022",Permanently shifted,568,"1,454",43.82
Mahnar,30-44,"3,792",Permanently shifted,"1,507","2,285",20.52
Mahnar,45-60,"2,584",Permanently shifted,"1,231","1,353",4.72
Mahnar,61-75,909,Permanently shifted,494,415,-8.69
Mahnar,75+,232,Permanently shifted,123,109,-6.03
Mahnar,18-29,767,Untraceable,322,445,16.04
Mahnar,30-44,"1,318",Untraceable,605,713,8.19
Mahnar,45-60,791,Untraceable,376,415,4.93
Mahnar,61-75,328,Untraceable,141,187,14.02
Mahnar,75+,106,Untraceable,50,56,5.66
Patepur (SC),18-29,320,Deceased,156,164,2.5
Patepur (SC),30-44,"1,616",Deceased,876,740,-8.42
Patepur (SC),45-60,"3,164",Deceased,"1,707","1,457",-7.9
Patepur (SC),61-75,"5,651",Deceased,"2,826","2,825",-0.02
Patepur (SC),75+,"4,998",Deceased,"2,476","2,522",0.92
Patepur (SC),18-29,919,Duplicate enrolment,412,507,10.34
Patepur (SC),30-44,"1,235",Duplicate enrolment,676,559,-9.47
Patepur (SC),45-60,460,Duplicate enrolment,229,231,0.43
Patepur (SC),61-75,131,Duplicate enrolment,65,66,0.76
Patepur (SC),75+,33,Duplicate enrolment,13,20,21.21
Patepur (SC),18-29,"1,638",Permanently shifted,494,"1,144",39.68
Patepur (SC),30-44,"2,676",Permanently shifted,"1,039","1,637",22.35
Patepur (SC),45-60,"1,507",Permanently shifted,734,773,2.59
Patepur (SC),61-75,469,Permanently shifted,225,244,4.05
Patepur (SC),75+,122,Permanently shifted,67,55,-9.84
Patepur (SC),18-29,515,Untraceable,242,273,6.02
Patepur (SC),30-44,604,Untraceable,246,358,18.54
Patepur (SC),45-60,213,Untraceable,107,106,-0.47
Patepur (SC),61-75,87,Untraceable,32,55,26.44
Patepur (SC),75+,19,Untraceable,9,10,5.26
Kalyanpur (SC),18-29,283,Deceased,140,143,1.06
Kalyanpur (SC),30-44,"1,042",Deceased,529,513,-1.54
Kalyanpur (SC),45-60,"1,518",Deceased,753,765,0.79
Kalyanpur (SC),61-75,"2,526",Deceased,"1,218","1,308",3.56
Kalyanpur (SC),75+,"1,497",Deceased,651,846,13.03
Kalyanpur (SC),18-29,"2,135",Duplicate enrolment,949,"1,186",11.1
Kalyanpur (SC),30-44,"1,458",Duplicate enrolment,720,738,1.23
Kalyanpur (SC),45-60,510,Duplicate enrolment,229,281,10.2
Kalyanpur (SC),61-75,150,Duplicate enrolment,74,76,1.33
Kalyanpur (SC),75+,23,Duplicate enrolment,13,10,-13.04
Kalyanpur (SC),18-29,"3,559",Permanently shifted,901,"2,658",49.37
Kalyanpur (SC),30-44,"5,281",Permanently shifted,"2,084","3,197",21.08
Kalyanpur (SC),45-60,"2,795",Permanently shifted,"1,393","1,402",0.32
Kalyanpur (SC),61-75,820,Permanently shifted,411,409,-0.24
Kalyanpur (SC),75+,127,Permanently shifted,52,75,18.11
Kalyanpur (SC),18-29,"2,638",Untraceable,"1,052","1,586",20.24
Kalyanpur (SC),30-44,"3,533",Untraceable,"1,616","1,917",8.52
Kalyanpur (SC),45-60,"1,718",Untraceable,830,888,3.38
Kalyanpur (SC),61-75,513,Untraceable,233,280,9.16
Kalyanpur (SC),75+,131,Untraceable,47,84,28.24
Warisnagar,18-29,358,Deceased,175,183,2.23
Warisnagar,30-44,"1,356",Deceased,741,615,-9.29
Warisnagar,45-60,"2,262",Deceased,"1,123","1,139",0.71
Warisnagar,61-75,"3,728",Deceased,"1,718","2,010",7.83
Warisnagar,75+,"2,481",Deceased,"1,052","1,429",15.2
Warisnagar,18-29,"1,674",Duplicate enrolment,745,929,10.99
Warisnagar,30-44,"1,505",Duplicate enrolment,703,802,6.58
Warisnagar,45-60,500,Duplicate enrolment,206,294,17.6
Warisnagar,61-75,155,Duplicate enrolment,62,93,20
Warisnagar,75+,33,Duplicate enrolment,12,21,27.27
Warisnagar,18-29,"3,175",Permanently shifted,906,"2,269",42.93
Warisnagar,30-44,"4,982",Permanently shifted,"1,936","3,046",22.28
Warisnagar,45-60,"2,558",Permanently shifted,"1,258","1,300",1.64
Warisnagar,61-75,738,Permanently shifted,376,362,-1.9
Warisnagar,75+,144,Permanently shifted,56,88,22.22
Warisnagar,18-29,"2,405",Untraceable,881,"1,524",26.74
Warisnagar,30-44,"3,575",Untraceable,"1,571","2,004",12.11
Warisnagar,45-60,"1,763",Untraceable,843,920,4.37
Warisnagar,61-75,625,Untraceable,293,332,6.24
Warisnagar,75+,151,Untraceable,62,89,17.88
Samastipur,18-29,230,Deceased,130,100,-13.04
Samastipur,30-44,"1,018",Deceased,586,432,-15.13
Samastipur,45-60,"1,989",Deceased,"1,064",925,-6.99
Samastipur,61-75,"3,001",Deceased,"1,497","1,504",0.23
Samastipur,75+,"1,907",Deceased,916,991,3.93
Samastipur,18-29,969,Duplicate enrolment,504,465,-4.02
Samastipur,30-44,"1,026",Duplicate enrolment,546,480,-6.43
Samastipur,45-60,381,Duplicate enrolment,202,179,-6.04
Samastipur,61-75,149,Duplicate enrolment,75,74,-0.67
Samastipur,75+,39,Duplicate enrolment,17,22,12.82
Samastipur,18-29,"2,503",Permanently shifted,834,"1,669",33.36
Samastipur,30-44,"4,938",Permanently shifted,"1,994","2,944",19.24
Samastipur,45-60,"2,851",Permanently shifted,"1,461","1,390",-2.49
Samastipur,61-75,878,Permanently shifted,482,396,-9.79
Samastipur,75+,161,Permanently shifted,79,82,1.86
Samastipur,18-29,"1,551",Untraceable,641,910,17.34
Samastipur,30-44,"2,486",Untraceable,"1,132","1,354",8.93
Samastipur,45-60,"1,185",Untraceable,620,565,-4.64
Samastipur,61-75,426,Untraceable,196,230,7.98
Samastipur,75+,91,Untraceable,34,57,25.27
Ujiarpur,18-29,234,Deceased,117,117,0
Ujiarpur,30-44,865,Deceased,420,445,2.89
Ujiarpur,45-60,"1,316",Deceased,650,666,1.22
Ujiarpur,61-75,"1,937",Deceased,912,"1,025",5.83
Ujiarpur,75+,"1,024",Deceased,473,551,7.62
Ujiarpur,18-29,"1,366",Duplicate enrolment,710,656,-3.95
Ujiarpur,30-44,"1,140",Duplicate enrolment,564,576,1.05
Ujiarpur,45-60,333,Duplicate enrolment,138,195,17.12
Ujiarpur,61-75,115,Duplicate enrolment,54,61,6.09
Ujiarpur,75+,21,Duplicate enrolment,9,12,14.29
Ujiarpur,18-29,"4,214",Permanently shifted,"1,531","2,683",27.34
Ujiarpur,30-44,"5,165",Permanently shifted,"2,012","3,153",22.09
Ujiarpur,45-60,"2,792",Permanently shifted,"1,406","1,386",-0.72
Ujiarpur,61-75,758,Permanently shifted,397,361,-4.75
Ujiarpur,75+,137,Permanently shifted,61,76,10.95
Ujiarpur,18-29,"1,040",Untraceable,480,560,7.69
Ujiarpur,30-44,"1,179",Untraceable,505,674,14.33
Ujiarpur,45-60,486,Untraceable,246,240,-1.23
Ujiarpur,61-75,163,Untraceable,77,86,5.52
Ujiarpur,75+,36,Untraceable,18,18,0
Morwa,18-29,366,Deceased,194,172,-6.01
Morwa,30-44,"1,385",Deceased,723,662,-4.4
